District,Crop_Production_Rate_Yearly,Crop_Production_Rate_Monthly,Crop_Production_Rate_Weekly,Major_Crops,Avg_Rainfall_mm,Soil_Type,Irrigation_Source,Fertilizer_Usage_kg_per_ha,Avg_Temperature_C,Mandi_Price_Rupees_per_kg,Water_Requirement_L_per_ha,Pest_Incidence,Farmer_Count,pH_Level,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Nitrogen_kg_per_ha,Profit_Share_Percentage,Organic_Matter_Percentage,Sand_Percentage,Silt_Percentage,Clay_Percentage,Electrical_Conductivity_dS_per_m,Cation_Exchange_Capacity_meq_per_100g,Zinc_ppm,Iron_ppm,Manganese_ppm,Copper_ppm,Budget_per_Acre_Rs
Ranipet,92255,7338,545,Tapioca,1471,Mixed,Tanks,146,26,10,4442,Medium,12426,5.36,39,40,52,44.58,0.63,22,36,31,2.07,7.72,5.47,48.19,2.44,4.56,40000.0
Salem,38958,8224,1367,Cotton,1462,Alluvial,Tube Wells,183,34,21,4633,Medium,18868,5.58,41,34,70,40.37,3.59,53,21,31,2.37,21.45,1.63,42.88,2.7,3.63,55000.0
Sivagangai,70277,4762,798,Paddy,1479,Alluvial,Canals,161,32,13,5150,Medium,18986,8.49,38,41,59,26.16,3.13,58,18,40,1.9,19.52,7.78,38.25,11.2,1.74,45000.0
Tenkasi,44983,2130,1424,Groundnut,930,Mixed,Tanks,177,34,23,5483,Medium,7854,5.46,49,33,33,35.07,5.13,37,27,20,1.06,16.94,8.31,39.92,8.04,2.4,35000.0
Thanjavur,98561,3951,645,Maize,1028,Alluvial,Tube Wells,129,35,25,4467,Low,21622,6.7,21,55,70,39.93,2.24,24,37,30,0.99,34.02,1.32,13.11,14.94,3.65,40000.0
Theni,86616,2830,2176,Groundnut,1061,Laterite,Tube Wells,157,28,11,5064,High,16469,4.8,33,57,44,26.55,2.41,20,40,27,1.24,19.21,6.53,3.31,4.93,2.16,35000.0
Thiruvallur,37892,6119,1794,Cotton,973,Alluvial,Wells,200,26,18,5242,Low,6138,6.99,37,46,71,41.99,4.21,51,11,19,1.14,20.83,6.48,2.28,0.6,2.5,55000.0
Thiruvarur,29150,3469,1181,Maize,1215,Red,Tanks,153,35,23,4451,Medium,20385,7.36,10,28,31,25.2,4.8,56,34,16,1.06,7.5,9.71,22.67,3.82,4.67,40000.0
Thoothukudi,56208,6142,1485,Tapioca,1396,Laterite,Tanks,129,31,23,4667,Medium,18012,5.74,29,60,79,36.43,0.81,27,40,27,0.7,9.78,1.35,12.81,11.76,3.93,40000.0
Tiruchirappalli,74387,8337,1011,Paddy,1133,Mixed,Wells,172,29,12,5372,High,8002,8.32,17,56,39,33.72,4.02,27,25,17,2.43,29.65,6.66,40.97,9.81,2.2,45000.0
Tirunelveli,64548,8458,1246,Tapioca,983,Red,Wells,116,32,12,5356,Medium,34733,8.19,25,55,67,16.67,2.64,46,26,21,0.21,35.58,0.66,42.15,11.91,2.98,40000.0
Tirupathur,86550,4687,510,Groundnut,755,Laterite,Wells,168,32,12,5233,Low,6604,5.08,26,41,42,40.97,5.39,27,10,22,0.95,28.27,3.12,36.3,3.83,1.53,35000.0
Tiruppur,55018,7046,2183,Sugarcane,764,Black,Wells,131,27,18,4740,Low,23062,5.61,43,35,31,47.57,4.79,24,21,29,0.12,24.34,6.8,2.06,8.73,4.08,65000.0
Tiruvannamalai,20336,8844,2149,Cotton,1081,Alluvial,Rain-fed,199,35,21,5331,Medium,20044,8.31,21,29,37,31.39,3.42,39,17,28,1.71,9.72,3.88,27.62,9.99,3.38,55000.0
The Nilgiris,57072,5928,708,Groundnut,1053,Alluvial,Tanks,152,30,25,4499,High,6492,4.61,13,38,36,17.42,5.61,45,27,28,2.33,6.17,0.9,35.42,6.33,2.9,35000.0
Vellore,59132,4217,681,Tapioca,1163,Laterite,Tube Wells,186,26,22,5065,Medium,21759,7.42,43,32,76,45.44,0.79,36,16,25,2.14,12.97,8.78,47.68,7.61,3.57,40000.0
Viluppuram,96931,4644,810,Sugarcane,1197,Red,Tube Wells,174,27,17,4283,High,11141,6.73,26,44,39,31.02,5.57,36,16,34,0.44,37.27,3.46,25.83,4.2,4.34,65000.0
Virudhunagar,96011,7689,1101,Groundnut,1213,Black,Wells,185,35,14,5346,High,17749,5.1,48,51,51,16.59,3.67,44,33,13,1.15,23.57,5.74,3.83,3.18,1.06,35000.0
Ariyalur,84178,7559,1238,Cotton,1239,Laterite,Wells,117,34,13,5149,Medium,24894,6.06,25,57,70,31.46,4.28,25,27,15,0.89,39.39,0.82,15.24,7.42,3.66,55000.0
Chengalpattu,39476,2646,1566,Groundnut,825,Alluvial,Rain-fed,177,30,10,4035,Low,21313,5.52,16,29,30,10.06,0.59,26,21,21,0.87,20.54,6.59,43.39,8.63,0.99,35000.0
Chennai,78529,7975,1337,Maize,1181,Black,Wells,133,32,15,4583,Low,30818,8.23,30,39,34,40.56,4.51,57,39,14,0.54,33.13,6.08,34.8,14.62,1.57,40000.0
Coimbatore,90592,7146,693,Maize,1426,Alluvial,Rain-fed,136,33,12,4006,Low,8958,6.13,22,26,71,31.08,5.75,52,22,34,1.28,14.44,1.74,24.57,8.55,4.74,40000.0
Cuddalore,83483,7432,1047,Sugarcane,1244,Red,Rain-fed,143,31,15,4705,High,30050,5.23,48,41,62,16.17,5.75,35,28,11,0.25,17.51,5.04,31.94,1.89,0.87,65000.0
Dharmapuri,65236,2142,2166,Tapioca,1394,Red,Wells,140,25,16,4834,High,21569,5.99,43,50,55,24.94,3.07,23,16,36,1.48,26.85,4.36,2.26,13.23,1.47,40000.0
Dindigul,63573,5602,1865,Maize,1245,Black,Rain-fed,115,31,24,5359,Medium,31441,8.47,22,25,70,11.67,1.14,56,15,12,1.39,36.79,8.97,15.57,13.92,0.91,40000.0
Erode,92340,7606,769,Paddy,999,Alluvial,Rain-fed,110,34,21,4241,Low,10190,7.87,48,30,32,45.93,1.48,49,33,29,1.29,13.34,6.42,44.41,7.39,0.88,45000.0
Kallakurichi,91228,4333,1995,Paddy,1162,Mixed,Tube Wells,152,29,18,4291,Low,32189,7.67,15,49,61,30.57,4.48,43,29,16,0.42,34.26,0.85,48.92,2.41,1.01,45000.0
Kanchipuram,69441,1939,565,Groundnut,1335,Red,Wells,153,25,25,5423,Low,32968,5.24,19,46,47,27.08,2.68,39,13,11,1.44,12.32,6.68,32.5,10.63,0.89,35000.0
Karur,79682,2300,1398,Tapioca,1076,Black,Canals,164,34,12,5159,Low,11550,4.56,18,32,40,39.1,4.49,31,17,32,1.27,5.45,3.45,47.47,9.72,2.7,40000.0
Krishnagiri,62176,5080,1081,Paddy,1389,Black,Rain-fed,118,31,15,5249,Low,17488,7.83,35,60,66,37.26,1.69,39,23,22,0.44,20.33,8.0,37.88,12.24,1.19,45000.0
Madurai,44727,3401,1692,Paddy,1409,Laterite,Wells,173,25,23,4889,Medium,6264,7.28,10,55,78,43.27,1.55,51,29,38,0.97,23.55,6.43,41.43,11.82,2.66,45000.0
Mayiladuthurai,51300,8370,762,Cotton,767,Red,Rain-fed,163,25,13,4699,Low,8233,7.19,11,34,31,29.4,3.3,33,22,18,1.88,8.88,3.65,4.77,2.0,3.95,55000.0
Nagapattinam,94946,2122,1041,Cotton,892,Alluvial,Rain-fed,180,28,11,4061,Medium,5463,5.19,10,40,55,26.38,0.9,53,19,23,0.44,35.52,6.67,24.55,1.59,1.06,55000.0
Kanyakumari,70196,4290,1699,Paddy,1168,Red,Tube Wells,198,30,17,5124,Medium,21101,4.9,14,37,72,29.81,4.88,54,33,30,0.11,10.94,7.52,8.07,5.51,4.7,45000.0
Namakkal,50613,6457,518,Cotton,789,Laterite,Canals,125,31,16,4301,Medium,9085,6.63,28,33,71,10.74,1.46,41,26,28,0.28,31.59,8.6,33.43,3.51,1.69,55000.0
Perambalur,73841,7799,409,Paddy,782,Mixed,Tube Wells,123,27,14,4831,High,10110,6.99,29,38,68,47.96,2.26,31,11,13,1.78,21.53,6.67,29.69,8.9,3.64,45000.0
Pudukkottai,25720,6528,1325,Sugarcane,1100,Black,Tanks,158,29,19,5209,High,17990,4.64,13,46,52,21.14,4.12,35,32,14,0.97,37.51,5.31,9.67,5.79,1.17,65000.0
Ramanathapuram,61704,6379,960,Cotton,883,Alluvial,Canals,101,28,14,4734,Medium,8269,5.72,39,55,39,42.07,3.74,51,39,22,0.2,18.23,0.89,23.86,7.81,3.05,55000.0
Ranipet,81993,4749,828,Paddy,995,Black,Tube Wells,121,34,22,5115,Medium,16607,6.6,35,41,41,18.75,5.73,50,18,35,2.24,16.96,6.94,14.62,4.11,0.24,45000.0
Salem,69968,7836,1958,Paddy,778,Laterite,Canals,115,35,10,5385,Medium,26129,4.9,19,52,40,48.94,3.08,38,35,25,0.51,35.82,7.99,7.45,14.02,0.81,45000.0
Sivagangai,70604,4173,1984,Groundnut,811,Alluvial,Tanks,153,30,21,4300,Low,32699,6.03,49,47,44,39.36,1.75,55,34,13,2.08,7.25,4.24,11.03,1.78,3.44,35000.0
Tenkasi,39936,1742,745,Tapioca,868,Red,Rain-fed,133,33,11,4889,Medium,31988,4.7,14,35,42,32.98,3.0,51,10,28,1.22,37.32,5.84,34.91,6.26,3.88,40000.0
Thanjavur,84923,6694,1580,Sugarcane,982,Mixed,Wells,197,32,10,5353,High,23141,4.55,29,56,56,43.24,5.54,49,25,12,1.73,14.86,4.33,38.86,1.42,4.32,65000.0
Theni,24852,3739,1965,Tapioca,814,Mixed,Tube Wells,170,35,13,4544,Low,12283,6.68,24,21,68,29.0,3.64,20,17,28,1.65,34.45,5.13,17.39,1.24,1.53,40000.0
Thiruvallur,36547,7918,724,Sugarcane,1413,Laterite,Canals,191,35,18,4191,Medium,34260,6.29,12,46,43,15.86,3.81,23,24,23,1.14,21.68,8.77,32.27,3.96,4.94,65000.0
Thiruvarur,85836,5190,1402,Groundnut,851,Black,Canals,160,28,10,5127,Low,23293,7.11,28,26,37,19.24,2.47,50,16,40,1.75,14.06,3.39,4.4,7.8,4.27,35000.0
Thoothukudi,97356,5519,2008,Groundnut,1208,Mixed,Tanks,195,34,19,4783,Low,27209,4.72,46,45,70,35.45,3.19,55,11,28,0.18,17.72,3.59,43.0,1.55,4.4,35000.0
Tiruchirappalli,63515,3368,1963,Tapioca,854,Black,Tanks,112,30,14,5173,Low,23357,8.22,14,54,65,13.25,3.68,55,40,28,1.01,29.3,5.34,44.96,11.03,3.47,40000.0
Tirunelveli,33154,4414,1996,Groundnut,909,Mixed,Tube Wells,116,34,20,4774,Low,25713,7.62,23,29,31,29.1,4.7,27,35,16,1.25,15.82,7.57,28.18,11.51,4.99,35000.0
Tirupathur,77711,6030,580,Maize,1233,Mixed,Tanks,104,27,17,4705,Medium,10992,4.63,29,38,54,45.89,0.87,60,38,16,0.83,13.01,5.1,47.64,7.1,1.57,40000.0
Tiruppur,33069,4575,665,Paddy,1342,Mixed,Wells,155,28,25,4833,High,28137,5.84,17,56,40,37.35,5.79,29,18,21,2.17,17.47,5.48,45.95,0.69,0.94,45000.0
Tiruvannamalai,88937,5037,1658,Maize,723,Black,Tube Wells,103,27,16,5290,Low,7937,7.67,11,50,32,38.36,4.99,41,12,17,1.14,11.22,2.6,17.76,7.91,1.76,40000.0
The Nilgiris,79890,3021,1288,Cotton,1000,Alluvial,Rain-fed,188,28,16,4149,Low,33148,6.06,23,57,30,33.99,1.9,35,21,31,1.5,20.52,3.82,25.15,4.99,0.89,55000.0
Vellore,22011,7068,1697,Groundnut,1126,Mixed,Wells,121,29,25,4443,Medium,21154,7.71,43,60,80,16.35,2.98,31,10,11,0.69,15.52,7.93,45.34,14.91,2.99,35000.0
Viluppuram,38894,6299,1279,Tapioca,1398,Black,Tube Wells,109,27,25,4030,High,26830,7.39,46,35,61,30.12,4.25,41,33,16,2.02,33.24,7.84,26.38,7.35,0.86,40000.0
Virudhunagar,73736,6912,1226,Paddy,1254,Alluvial,Tube Wells,116,26,25,5150,Medium,31009,4.78,41,59,70,34.91,0.9,26,38,30,0.31,28.73,8.78,2.01,6.5,4.07,45000.0
Ariyalur,40232,4613,1278,Paddy,835,Black,Tube Wells,165,25,16,4986,High,32584,5.94,30,58,42,20.98,3.14,30,22,12,0.69,38.22,6.84,15.57,10.52,2.0,45000.0
Chengalpattu,29807,2202,1377,Cotton,1185,Red,Canals,167,33,13,4872,High,25652,6.14,19,54,31,38.34,1.69,25,16,17,0.57,23.14,2.98,25.27,4.14,3.41,55000.0
Chennai,81537,7825,1185,Tapioca,1055,Mixed,Tube Wells,149,34,15,4201,High,19245,6.67,50,24,38,48.61,2.65,55,15,34,1.41,10.12,6.65,3.17,7.88,2.66,40000.0
Coimbatore,54737,6567,409,Sugarcane,1130,Black,Canals,154,25,22,5376,Medium,28181,4.62,44,46,46,13.48,5.57,21,35,27,0.56,34.96,8.78,9.68,0.56,4.14,65000.0
Cuddalore,64375,3919,477,Paddy,1154,Mixed,Tube Wells,145,27,12,5404,Low,29970,5.86,40,26,80,37.43,0.57,55,32,25,1.46,9.88,6.32,9.9,10.58,2.88,45000.0
Dharmapuri,72098,8037,1493,Sugarcane,1455,Red,Wells,116,33,14,4298,Low,13589,6.4,18,42,41,38.23,4.41,30,18,27,2.25,19.67,8.38,17.62,4.1,2.92,65000.0
Dindigul,30527,3518,808,Tapioca,1360,Black,Canals,151,30,14,4389,High,22502,5.75,12,34,54,21.65,2.84,30,36,16,0.68,34.53,4.37,2.13,1.78,1.21,40000.0
Erode,63065,7341,1896,Paddy,721,Alluvial,Wells,189,26,14,5082,Low,33165,4.74,47,52,71,31.06,5.79,45,10,11,0.15,26.12,7.17,9.86,7.47,4.38,45000.0
Kallakurichi,89942,2102,1164,Maize,998,Mixed,Tanks,171,30,12,4642,Low,13463,6.48,49,25,75,37.36,2.66,50,20,20,0.29,38.85,6.88,17.11,1.58,3.26,40000.0
Kanchipuram,69808,2172,428,Groundnut,893,Mixed,Canals,130,30,25,5170,Medium,30537,5.05,44,26,57,49.31,4.09,56,13,30,2.31,29.75,0.83,10.82,8.2,0.27,35000.0
Karur,61505,3695,1059,Tapioca,764,Red,Canals,191,28,12,4689,High,18190,8.32,37,45,38,16.26,5.25,57,11,22,2.02,33.57,0.89,19.78,10.2,2.13,40000.0
Krishnagiri,83956,2763,1950,Sugarcane,722,Mixed,Rain-fed,137,35,15,4246,High,20678,6.75,30,52,46,27.75,1.07,23,35,26,1.32,17.79,0.83,8.72,6.94,0.87,65000.0
Madurai,90912,4612,2106,Maize,937,Laterite,Canals,115,28,17,4515,Medium,11563,4.55,34,32,74,40.42,1.38,59,33,14,1.7,8.65,3.89,27.74,9.69,4.83,40000.0
Mayiladuthurai,24705,7330,1487,Tapioca,1232,Alluvial,Wells,143,28,23,4393,Medium,15627,7.69,29,49,66,43.56,5.71,46,38,26,1.06,37.39,6.12,5.5,9.23,3.49,40000.0
Nagapattinam,28968,7921,790,Paddy,1360,Laterite,Rain-fed,143,29,21,4546,High,19503,5.36,20,25,58,36.08,2.1,45,14,35,0.7,33.66,9.51,42.43,8.33,1.06,45000.0
Kanyakumari,50771,6692,436,Groundnut,1043,Alluvial,Tube Wells,175,27,17,4816,Medium,29698,6.35,18,21,53,41.6,5.18,46,23,33,1.38,16.01,5.71,45.12,13.63,4.78,35000.0
Namakkal,57667,2763,1785,Maize,1121,Red,Canals,177,31,18,5108,High,13606,5.26,28,35,45,34.75,1.63,21,21,33,0.92,20.15,3.1,7.62,8.73,1.46,40000.0
Perambalur,49817,7559,408,Groundnut,1292,Laterite,Tube Wells,178,29,23,4305,Low,9293,7.61,10,21,60,26.98,0.67,29,26,35,1.3,36.26,9.74,17.81,14.16,1.83,35000.0
Pudukkottai,31846,4691,1683,Paddy,1051,Laterite,Tanks,113,28,11,4492,Low,9756,7.12,31,51,80,23.39,0.58,54,17,25,0.99,32.56,9.07,14.14,14.94,1.06,45000.0
Ramanathapuram,76881,4094,1902,Tapioca,1371,Red,Tube Wells,192,28,23,5203,Low,11875,5.19,49,33,77,20.73,0.74,47,37,21,1.77,24.02,5.73,5.87,11.77,1.78,40000.0
Ranipet,32903,4454,909,Paddy,1361,Alluvial,Canals,105,30,11,4636,Low,12100,4.87,19,50,70,26.25,2.69,43,27,17,0.95,17.05,7.73,40.45,13.45,4.11,45000.0
Salem,33173,2372,863,Maize,1034,Mixed,Tube Wells,109,25,20,5042,High,27637,5.32,13,28,48,41.49,1.87,33,24,17,1.47,16.19,8.09,28.54,14.5,3.66,40000.0
Sivagangai,78153,2249,1820,Paddy,1197,Laterite,Canals,194,27,22,4556,High,10005,7.75,43,44,31,12.88,4.59,55,30,20,0.35,19.97,4.46,24.75,12.0,4.65,45000.0
Tenkasi,41805,1542,2196,Cotton,1307,Laterite,Canals,145,32,10,5282,Medium,9641,6.77,21,23,74,24.33,3.29,33,28,36,0.28,30.76,6.5,38.52,11.91,1.25,55000.0
Thanjavur,59251,4025,1105,Groundnut,1381,Red,Rain-fed,157,26,16,4083,Medium,10288,7.47,24,50,50,35.65,1.3,56,23,20,0.56,22.31,8.5,39.18,9.87,3.61,35000.0
Theni,23794,5143,1039,Paddy,1413,Mixed,Wells,152,31,21,4060,Low,28333,6.39,31,30,61,22.43,5.8,43,16,15,1.56,6.3,1.49,2.65,7.99,2.29,45000.0
Thiruvallur,26028,4448,664,Paddy,1242,Alluvial,Tube Wells,180,25,22,4336,Medium,21657,4.8,24,20,80,14.46,3.96,49,16,23,2.35,17.89,0.6,19.35,4.47,3.26,45000.0
Thiruvarur,62516,7736,610,Tapioca,1261,Black,Tube Wells,157,32,24,4979,Medium,5553,6.06,11,26,74,26.13,5.97,24,38,32,0.93,28.14,5.97,12.0,8.8,2.95,40000.0
Thoothukudi,27355,3709,1185,Cotton,1155,Alluvial,Wells,194,28,17,4458,Low,25799,5.07,46,37,35,31.18,3.57,46,19,15,1.8,31.28,1.54,43.54,4.12,3.96,55000.0
Tiruchirappalli,58452,2337,1430,Groundnut,1168,Red,Tube Wells,155,31,14,4002,High,8477,4.98,41,54,71,27.07,3.31,39,39,11,1.36,34.62,4.66,37.82,5.09,0.49,35000.0
Tirunelveli,66984,2585,1605,Sugarcane,1011,Laterite,Rain-fed,137,25,25,4013,Medium,29719,7.72,37,59,78,47.41,1.73,45,22,14,0.86,23.62,5.86,7.78,12.5,4.54,65000.0
Tirupathur,69131,2215,1026,Cotton,1280,Mixed,Tanks,196,32,23,5367,Medium,24904,5.52,37,47,47,10.32,5.5,53,24,29,2.35,38.97,5.27,27.47,6.62,4.64,55000.0
Tiruppur,76450,3035,742,Cotton,835,Laterite,Wells,161,32,15,5052,Low,14569,7.98,48,50,49,42.36,5.25,28,18,31,2.4,24.06,4.75,14.83,7.99,0.21,55000.0
Tiruvannamalai,39080,5030,533,Groundnut,1013,Red,Wells,189,31,17,4889,High,13315,7.34,16,55,55,32.63,4.9,26,30,18,2.21,22.64,1.2,26.62,2.66,1.29,35000.0
The Nilgiris,52007,5176,2087,Tapioca,875,Alluvial,Tanks,117,28,19,5229,Medium,10045,5.62,49,21,72,18.26,0.72,20,23,34,0.58,12.33,8.33,19.23,14.22,0.26,40000.0
Vellore,89621,6062,493,Cotton,966,Laterite,Wells,193,28,25,4800,Low,16341,6.13,26,55,68,39.46,3.09,20,18,27,1.3,7.37,9.55,6.44,11.76,3.23,55000.0
Viluppuram,74008,6044,1010,Groundnut,932,Black,Canals,123,31,12,4797,Low,23357,4.95,45,28,53,42.73,4.44,32,32,40,1.81,25.4,5.26,15.9,1.12,1.41,35000.0
Virudhunagar,94177,5697,995,Tapioca,1195,Red,Tanks,192,34,23,4128,High,26966,6.48,49,44,56,12.44,3.39,50,35,25,0.31,14.07,1.6,8.1,2.93,2.85,40000.0
Ariyalur,43600,4842,1333,Cotton,1080,Alluvial,Canals,198,26,10,4112,Low,33117,6.78,35,37,73,14.41,0.96,20,40,18,0.68,16.33,4.28,48.45,4.86,1.87,55000.0
Chengalpattu,42280,2346,1890,Groundnut,995,Mixed,Tube Wells,175,26,23,4239,Low,29266,6.69,18,56,79,41.37,4.0,57,38,25,0.94,7.12,4.36,46.94,7.92,1.79,35000.0
Chennai,42946,1715,1465,Tapioca,1488,Alluvial,Canals,165,27,12,4792,Low,23549,8.47,46,33,61,43.48,1.76,21,22,26,1.05,31.58,5.57,2.16,1.94,2.59,40000.0
Coimbatore,30350,2234,1621,Groundnut,748,Black,Canals,110,33,12,5031,Low,10055,4.77,44,27,46,13.43,2.85,48,37,13,1.12,16.2,5.83,14.4,10.35,4.96,35000.0
Cuddalore,99887,4399,1473,Sugarcane,851,Laterite,Rain-fed,119,34,14,4413,High,28506,7.84,12,28,33,39.46,2.44,22,23,13,1.58,38.36,2.62,46.4,5.44,1.79,65000.0
Dharmapuri,70140,6040,1091,Tapioca,1061,Alluvial,Tube Wells,100,33,11,4153,Medium,31728,6.32,33,27,76,33.02,5.56,35,33,15,2.44,6.81,0.67,48.92,12.1,4.55,40000.0
Dindigul,51566,2262,1288,Paddy,991,Black,Rain-fed,175,26,21,4166,Low,26790,5.73,35,38,54,36.09,3.5,51,11,27,0.69,37.26,8.65,37.28,10.24,0.73,45000.0
Erode,85230,6390,1806,Tapioca,1166,Black,Tube Wells,175,27,18,5368,High,27456,6.13,44,45,64,16.21,1.32,53,17,15,2.47,15.47,5.68,19.94,11.93,0.99,40000.0
Kallakurichi,96435,6399,674,Groundnut,870,Black,Canals,147,28,22,4395,Medium,25687,8.43,18,32,61,46.88,0.51,23,16,22,2.04,31.09,4.11,17.9,11.41,3.52,35000.0
Kanchipuram,38758,7926,1101,Maize,1333,Red,Wells,186,26,18,5253,Medium,33188,5.08,10,57,80,15.78,1.24,53,37,28,1.4,17.04,1.53,29.86,3.85,1.04,40000.0
Karur,50433,4157,1403,Tapioca,864,Red,Wells,183,32,24,4685,Low,11033,5.4,15,39,43,30.97,0.85,60,37,37,2.03,12.1,2.22,45.88,1.25,0.13,40000.0
Krishnagiri,80443,8575,1135,Sugarcane,1428,Alluvial,Wells,158,34,20,4052,Medium,10853,5.71,40,48,53,40.37,2.97,52,40,31,0.95,13.44,1.41,12.22,10.58,0.12,65000.0
Madurai,53289,4655,1936,Tapioca,1248,Alluvial,Rain-fed,148,30,19,4098,Medium,29059,7.93,33,45,71,41.68,0.62,46,14,28,2.22,12.23,1.02,40.51,7.73,2.16,40000.0
Mayiladuthurai,80236,1601,785,Tapioca,992,Alluvial,Tanks,141,30,20,4135,High,16591,8.22,25,31,49,18.6,2.12,47,38,16,1.39,23.92,4.12,9.39,0.93,4.45,40000.0
Nagapattinam,53466,3890,737,Sugarcane,886,Laterite,Rain-fed,156,31,19,4768,High,18271,5.03,50,40,46,40.89,3.5,57,25,19,1.69,10.28,3.59,21.54,10.35,2.83,65000.0
Kanyakumari,21231,4889,2062,Paddy,879,Laterite,Rain-fed,122,28,25,5080,High,6873,5.94,10,37,53,34.01,1.89,34,16,33,0.26,15.52,9.31,32.0,4.55,3.05,45000.0
Namakkal,80981,4676,1226,Cotton,1425,Alluvial,Tanks,165,28,25,4114,Medium,17354,4.87,38,29,44,29.18,4.2,30,36,21,1.67,39.0,4.16,39.66,7.62,1.59,55000.0
Perambalur,57700,7882,439,Cotton,1409,Mixed,Tube Wells,192,26,22,5253,High,10997,6.09,49,57,46,26.41,2.9,22,35,13,2.32,17.58,1.96,20.37,14.93,4.15,55000.0
Pudukkottai,91643,2193,867,Groundnut,1382,Red,Wells,175,33,14,5327,Low,31904,5.08,36,60,51,11.95,4.44,51,28,24,0.88,14.76,4.67,29.44,4.52,2.03,35000.0
Ramanathapuram,40706,7437,859,Sugarcane,857,Red,Tube Wells,135,30,25,4571,Medium,34112,5.22,36,30,76,35.14,3.2,22,29,17,1.74,16.24,1.56,46.03,14.76,2.34,65000.0
Ranipet,29681,8882,1889,Groundnut,865,Black,Tanks,198,32,20,4164,High,25248,8.15,16,44,34,40.65,4.34,56,25,28,2.27,6.88,8.73,14.73,12.81,2.39,35000.0
Salem,77898,6083,668,Maize,943,Alluvial,Canals,112,29,12,4600,Medium,16060,5.58,43,38,47,27.44,4.69,52,18,15,1.76,7.7,2.58,12.85,8.64,3.19,40000.0
Sivagangai,65293,8915,832,Tapioca,819,Laterite,Rain-fed,129,33,25,5289,High,11916,4.83,37,42,54,37.77,1.65,35,13,35,1.54,35.23,1.53,24.34,14.93,1.82,40000.0
Tenkasi,97014,3488,1903,Cotton,742,Black,Wells,138,26,20,5242,Low,17176,8.32,46,45,71,48.2,2.68,37,20,14,1.9,35.58,4.69,31.36,4.2,3.74,55000.0
Thanjavur,59210,6185,444,Groundnut,1024,Red,Tube Wells,163,32,12,4149,Medium,26498,8.16,31,33,57,42.18,0.86,52,29,14,2.48,30.29,6.14,4.02,6.84,0.58,35000.0
Theni,75615,5768,1607,Groundnut,1288,Alluvial,Tube Wells,143,25,18,4658,Medium,6615,7.16,40,32,65,44.97,3.94,37,14,28,1.96,34.86,4.8,46.91,14.88,2.78,35000.0
Thiruvallur,52780,2889,1433,Sugarcane,829,Red,Wells,106,25,18,4111,High,34498,4.57,19,58,64,48.83,4.52,58,35,17,2.3,37.85,2.14,34.37,13.36,3.73,65000.0
Thiruvarur,79878,7114,746,Maize,1151,Mixed,Rain-fed,172,31,18,4928,Low,17766,5.59,28,26,72,20.98,2.44,29,11,12,1.14,27.33,8.74,10.55,2.8,4.78,40000.0
Thoothukudi,59599,4618,652,Maize,966,Black,Canals,166,31,19,4835,Medium,12937,7.47,10,49,56,41.75,1.0,47,32,24,0.73,19.08,7.97,11.78,14.81,1.97,40000.0
Tiruchirappalli,46111,2888,1150,Groundnut,1078,Alluvial,Tube Wells,167,31,17,4362,Low,32299,6.28,29,28,52,17.86,4.4,51,40,30,1.12,23.74,9.47,4.32,3.42,1.88,35000.0
Tirunelveli,70422,2637,1856,Maize,888,Mixed,Wells,174,26,20,5289,Low,34395,7.87,25,57,62,22.0,0.6,39,34,24,1.55,5.26,6.05,48.98,6.59,2.82,40000.0
Tirupathur,83335,3702,1732,Maize,910,Mixed,Tube Wells,165,30,20,5068,High,25821,8.03,29,57,42,10.2,2.5,54,28,26,1.62,27.39,9.31,19.61,4.63,3.88,40000.0
Tiruppur,33979,3966,2022,Sugarcane,1275,Laterite,Rain-fed,154,30,17,4401,High,30898,6.0,41,60,72,43.54,0.94,48,19,23,1.11,33.14,8.02,11.54,6.97,2.9,65000.0
Tiruvannamalai,51091,3698,476,Tapioca,1424,Alluvial,Rain-fed,136,29,16,5192,High,28660,4.59,26,39,77,23.35,3.32,46,36,20,2.38,38.65,6.57,40.94,7.8,3.36,40000.0
The Nilgiris,69986,5539,1168,Sugarcane,735,Laterite,Canals,141,26,21,4907,Low,20688,7.2,17,20,47,18.77,3.9,31,36,38,1.52,39.84,9.45,23.07,6.34,0.78,65000.0
Vellore,94963,2695,2195,Tapioca,1381,Mixed,Wells,149,31,19,5314,High,33327,6.18,20,33,62,39.91,4.29,59,12,39,1.04,30.86,5.14,9.14,3.6,4.24,40000.0
Viluppuram,67049,2018,1711,Maize,1024,Alluvial,Wells,140,35,16,4842,Medium,31173,7.0,30,45,42,24.99,4.73,46,11,10,2.22,36.78,3.96,41.81,7.01,4.34,40000.0
Virudhunagar,95341,2869,923,Groundnut,1052,Alluvial,Tanks,196,29,20,5284,Medium,13016,5.76,24,56,80,45.25,4.41,42,38,35,2.35,21.24,5.78,42.69,9.87,3.34,35000.0
Ariyalur,58780,5060,1979,Cotton,851,Alluvial,Wells,122,28,23,4294,Medium,7184,5.4,14,36,48,25.97,1.21,23,12,17,0.78,18.21,6.49,11.77,8.56,3.76,55000.0
