District,Crop_Production_Rate_Yearly,Crop_Production_Rate_Monthly,Crop_Production_Rate_Weekly,Major_Crops,Avg_Rainfall_mm,Soil_Type,Irrigation_Source,Fertilizer_Usage_kg_per_ha,Avg_Temperature_C,Mandi_Price_Rupees_per_kg,Water_Requirement_L_per_ha,Pest_Incidence,Farmer_Count,pH_Level,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Nitrogen_kg_per_ha,Profit_Share_Percentage,Organic_Matter_Percentage,Sand_Percentage,Silt_Percentage,Clay_Percentage,Electrical_Conductivity_dS_per_m,Cation_Exchange_Capacity_meq_per_100g,Zinc_ppm,Iron_ppm,Manganese_ppm,Copper_ppm
Pathankot,69314,2696,2371,Rice,946,Clay,Rain-fed,227,24,27,5370,High,31473,8.15,56,29,75,19.31,1.65,61,13,18,0.77,15.0,2.67,4.49,3.13,1.25
Patiala,100222,2628,1301,Wheat,693,Calcareous,Tube Wells,163,36,19,5439,Medium,9220,8.53,19,75,55,39.31,1.64,63,29,16,1.5,28.15,3.96,17.38,6.5,1.22
Rupnagar,88548,9574,1631,Sugarcane,1008,Clay,Tanks,171,35,22,5685,Low,29894,8.09,20,40,47,24.86,1.59,61,35,28,0.32,17.47,2.72,12.08,4.68,1.57
Sahibzada Ajit Singh Nagar,110563,6794,2499,Rice,677,Sandy Loam,Rain-fed,188,26,32,5132,High,27973,7.66,21,70,90,44.45,0.94,52,28,27,1.88,28.79,3.69,5.72,6.11,0.94
Sangrur,90815,4529,1256,Rice,799,Alluvial,Tanks,205,35,12,5904,High,15771,7.55,46,44,103,47.47,0.8,25,25,35,0.21,13.59,2.67,13.35,3.34,1.84
Shaheed Bhagat Singh Nagar,42861,7818,2315,Cotton,424,Alluvial,Tube Wells,154,40,33,5746,Medium,10641,8.14,21,75,109,40.14,1.9,33,21,40,2.51,23.65,1.01,5.24,2.37,1.99
Tarn Taran,93425,5530,996,Sugarcane,976,Alluvial,Canals,130,28,28,5890,High,21601,7.11,60,37,58,17.97,2.02,35,28,19,0.77,15.15,3.11,5.15,1.16,2.34
Amritsar,34385,6894,1308,Maize,731,Sandy Loam,Canals,121,13,24,4203,High,8074,8.14,12,34,67,19.66,1.95,53,43,10,2.01,27.01,2.52,6.64,4.03,1.32
Barnala,118574,9078,955,Maize,797,Loam,Rain-fed,120,27,15,5391,Low,6589,8.31,19,46,97,30.39,2.57,58,33,21,1.36,23.2,5.43,4.72,4.84,1.2
Bathinda,89574,9844,1064,Sugarcane,870,Calcareous,Canals,238,22,19,4791,High,13048,8.46,60,42,56,15.07,2.25,38,23,40,2.87,11.22,2.2,12.64,3.89,1.58
Faridkot,55265,2933,1397,Rice,939,Sandy Loam,Tube Wells,184,27,19,5466,High,27289,7.56,52,54,92,43.53,1.76,36,26,40,1.75,28.09,3.17,13.22,5.06,1.42
Fatehgarh Sahib,45899,7980,776,Rice,1047,Alluvial,Tube Wells,187,14,12,5049,High,15591,8.02,28,49,81,41.4,2.57,32,12,10,2.76,21.48,1.27,11.01,4.28,2.57
Fazilka,75278,6039,873,Sugarcane,594,Alluvial,Tanks,174,15,23,5626,Low,32931,7.93,50,32,83,17.65,1.89,62,32,20,2.39,26.39,2.87,8.58,2.24,1.02
Ferozepur,94202,7327,531,Wheat,373,Alluvial,Rain-fed,202,23,19,4453,Medium,16187,8.62,38,58,43,36.77,0.88,35,12,29,1.92,13.05,5.62,4.89,6.29,0.9
Gurdaspur,31520,6962,614,Maize,1198,Loam,Tube Wells,153,24,16,4219,Medium,11516,7.71,47,72,89,12.04,1.33,36,33,33,1.08,14.94,0.93,4.87,5.9,0.48
Hoshiarpur,79937,9084,759,Cotton,397,Sandy Loam,Tanks,177,16,34,5021,Low,8003,7.59,54,30,84,30.6,2.67,51,25,18,1.84,15.78,1.91,8.64,2.2,1.86
Jalandhar,87143,6662,804,Rice,884,Calcareous,Canals,144,18,18,5709,Medium,18483,7.73,12,28,80,30.62,1.23,38,31,29,0.85,12.31,1.78,15.95,5.84,1.99
Kapurthala,71204,7119,1435,Sugarcane,577,Calcareous,Canals,246,30,24,4288,High,18027,7.52,54,50,70,18.32,1.67,42,10,29,2.55,17.41,5.45,11.34,2.99,1.58
Ludhiana,37842,3301,2421,Sugarcane,747,Loam,Tanks,155,17,22,4347,High,24803,7.23,37,55,83,17.06,2.63,30,42,26,2.05,16.07,4.5,5.63,5.13,2.06
Malerkotla,55601,3866,1987,Sugarcane,974,Clay,Canals,239,26,30,5864,Low,21633,8.51,29,73,91,29.31,2.63,25,42,11,2.93,21.17,4.16,4.66,1.87,2.54
Mansa,46566,8041,1724,Wheat,981,Loam,Tanks,170,13,17,5619,Low,14144,7.29,58,30,102,41.57,1.4,36,40,13,0.67,18.92,4.87,15.91,2.57,2.5
Moga,45955,2278,960,Maize,1044,Clay,Rain-fed,182,17,16,5455,Low,19317,7.27,57,35,65,47.18,2.51,32,16,32,2.54,31.11,1.3,10.18,5.66,2.13
Muktsar Sahib,101801,6653,2288,Wheat,1002,Calcareous,Tanks,176,25,12,4988,Medium,11573,7.79,42,54,86,41.13,1.38,60,10,38,1.38,16.92,2.16,14.37,3.9,2.24
Pathankot,86314,8056,1272,Wheat,459,Alluvial,Canals,128,32,14,5042,Low,18501,8.22,58,31,106,18.69,2.41,64,10,16,1.82,31.65,1.22,13.36,3.27,2.51
Patiala,100909,7873,671,Wheat,1068,Sandy Loam,Tube Wells,155,17,23,5206,Medium,23200,8.45,29,72,42,20.69,1.35,45,22,18,0.38,26.08,3.68,9.4,4.38,2.49
Rupnagar,30043,7237,839,Maize,985,Calcareous,Rain-fed,192,17,34,5322,Medium,20757,7.16,47,34,98,42.66,2.41,58,30,38,2.55,30.22,1.81,4.62,5.83,2.3
Sahibzada Ajit Singh Nagar,44808,2787,937,Sugarcane,917,Loam,Tube Wells,240,27,33,4119,Medium,18393,7.9,43,41,87,30.55,1.1,48,29,21,1.93,25.76,1.51,11.12,2.4,1.23
Sangrur,46558,4027,2335,Maize,921,Clay,Canals,132,20,15,5145,Low,24887,7.68,44,66,93,39.82,2.26,47,22,33,0.18,11.94,3.96,16.97,3.51,2.4
Shaheed Bhagat Singh Nagar,107167,7904,1975,Wheat,961,Sandy Loam,Rain-fed,137,21,24,5978,Low,32412,7.49,48,56,106,40.27,1.37,34,17,30,0.95,24.98,4.77,8.82,3.69,2.51
Tarn Taran,54747,5627,517,Sugarcane,732,Loam,Tube Wells,242,15,28,4008,Low,7780,7.15,29,65,108,45.24,1.87,44,38,16,0.28,16.61,2.79,13.35,1.52,2.3
Amritsar,47542,6555,830,Rice,731,Loam,Tanks,163,22,32,4150,High,14664,8.13,29,27,108,52.8,2.3,42,36,31,0.53,10.76,0.94,15.4,5.52,1.88
Barnala,58927,2977,2218,Rice,878,Sandy Loam,Canals,204,17,14,5773,High,10181,8.26,46,73,70,32.36,1.41,36,20,19,0.43,29.29,4.74,14.68,6.44,1.2
Bathinda,63271,6820,787,Cotton,606,Clay,Tanks,189,31,18,4206,High,5261,7.91,41,26,79,45.27,2.02,60,34,17,0.83,10.62,1.72,7.63,2.22,2.04
Faridkot,32650,6888,1894,Sugarcane,973,Calcareous,Tube Wells,120,32,32,4316,High,17734,7.11,50,38,85,27.63,2.42,35,29,33,0.76,16.58,3.36,6.0,2.54,0.72
Fatehgarh Sahib,75340,4895,1221,Sugarcane,833,Loam,Rain-fed,154,38,16,5038,Medium,14316,7.26,15,54,79,30.9,2.65,52,36,30,2.13,29.5,3.98,8.95,2.55,2.42
Fazilka,37886,9808,807,Cotton,412,Calcareous,Canals,157,38,21,4344,Low,26121,8.4,59,53,72,18.83,2.2,29,37,31,1.09,17.51,5.47,11.23,1.18,0.75
Ferozepur,35694,5131,920,Wheat,548,Sandy Loam,Rain-fed,221,17,13,4884,High,32125,8.24,14,65,85,25.95,2.31,45,16,24,2.31,24.49,3.61,6.5,6.03,2.23
Gurdaspur,56307,5037,2437,Wheat,1018,Alluvial,Rain-fed,212,23,21,5428,Low,24827,7.75,42,56,104,53.29,1.3,52,28,22,0.29,26.75,1.02,6.12,2.96,2.22
Hoshiarpur,35108,6103,1528,Wheat,1150,Calcareous,Tube Wells,148,18,30,4819,Low,7356,7.92,38,32,93,28.48,1.91,60,29,34,1.85,12.55,2.92,8.76,1.87,1.27
Jalandhar,55232,3154,1803,Cotton,360,Calcareous,Canals,151,26,13,5827,Medium,8560,8.04,52,26,55,53.46,2.62,55,44,20,1.03,23.99,1.79,10.97,1.4,2.31
Kapurthala,58798,8360,1454,Wheat,697,Clay,Tanks,163,35,33,5638,Low,9597,7.02,58,26,104,32.04,0.89,38,19,19,2.26,18.6,1.4,11.48,3.48,1.42
Ludhiana,109081,7596,783,Wheat,961,Calcareous,Canals,187,26,28,4647,Medium,25835,7.22,57,58,93,45.5,1.63,36,17,35,2.28,26.33,1.11,12.78,3.24,1.42
Malerkotla,57086,3314,1227,Sugarcane,1016,Sandy Loam,Tanks,216,15,17,4976,High,7001,8.13,36,38,86,33.4,2.46,52,42,16,2.72,15.45,4.91,9.52,2.53,0.42
Mansa,57965,8410,2181,Cotton,750,Sandy Loam,Tanks,229,22,29,5722,Medium,15480,8.3,45,54,103,27.57,1.89,32,41,27,1.03,15.28,0.83,12.01,6.56,2.31
Moga,97772,2281,1585,Sugarcane,1078,Clay,Tanks,167,34,27,4103,High,6552,7.25,31,30,77,12.74,2.59,35,18,38,0.73,19.25,3.77,10.45,2.68,2.5
Muktsar Sahib,30845,3388,1917,Sugarcane,828,Sandy Loam,Canals,236,16,27,4273,High,10701,8.25,23,38,74,39.63,2.77,37,44,40,2.98,21.67,4.37,10.09,3.93,2.54
Pathankot,54104,8932,984,Rice,1093,Alluvial,Rain-fed,239,21,12,4954,Low,29257,7.05,53,69,70,36.71,1.95,34,32,15,2.58,14.2,1.54,7.47,5.84,1.99
Patiala,90460,2939,2261,Sugarcane,490,Calcareous,Tube Wells,219,37,21,4607,Medium,8230,8.07,46,26,58,50.76,1.26,35,28,32,1.58,16.52,4.16,16.96,1.61,1.06
Rupnagar,64648,8914,1936,Cotton,992,Sandy Loam,Tanks,157,21,33,4465,Medium,12035,7.24,13,28,101,47.64,1.13,45,17,30,2.14,24.37,2.03,5.77,6.33,2.09
Sahibzada Ajit Singh Nagar,92425,5198,1422,Maize,866,Loam,Canals,210,39,18,4022,Low,21035,8.59,33,62,69,53.38,2.09,29,11,24,2.01,18.0,1.17,9.37,4.72,0.22
Sangrur,76196,2815,2332,Maize,936,Calcareous,Canals,205,31,30,4488,Medium,10878,8.26,32,69,88,27.42,1.7,33,25,30,1.03,27.79,3.89,5.31,3.74,2.27
Shaheed Bhagat Singh Nagar,78070,8789,709,Wheat,623,Calcareous,Canals,174,15,35,4401,Low,30624,7.86,42,33,62,26.66,1.53,55,31,18,1.47,11.05,2.46,6.32,3.37,1.72
Tarn Taran,75451,7175,1710,Cotton,660,Loam,Tanks,207,36,22,5389,High,20601,8.53,50,66,72,31.43,2.29,61,42,22,0.31,20.03,5.57,11.62,4.95,0.22
Amritsar,74256,6977,1527,Sugarcane,424,Sandy Loam,Tanks,135,22,30,4925,Medium,28035,7.02,43,48,75,27.68,0.99,42,29,23,2.42,10.9,1.06,11.49,4.1,2.21
Barnala,61966,5293,1564,Rice,422,Clay,Rain-fed,173,23,14,4549,High,10669,8.33,36,53,93,46.84,0.93,62,36,38,2.33,21.74,2.12,15.57,4.26,1.25
Bathinda,68308,7392,2264,Sugarcane,1021,Calcareous,Canals,212,35,15,5736,Medium,29295,7.08,43,64,99,45.53,0.67,28,22,35,2.22,22.25,2.42,8.81,4.18,0.46
Faridkot,32279,5265,1095,Rice,750,Sandy Loam,Tanks,206,19,20,5833,High,8659,7.65,23,37,51,51.16,1.84,41,11,17,0.78,11.32,3.84,13.03,2.53,0.25
Fatehgarh Sahib,114625,7946,1850,Cotton,483,Calcareous,Tanks,131,24,35,4922,Low,12940,8.47,49,50,89,51.51,0.89,33,39,40,0.75,12.07,1.11,10.56,6.79,1.11
Fazilka,89226,7989,2333,Rice,673,Calcareous,Tube Wells,184,34,30,5678,High,5877,7.36,25,28,89,13.64,1.61,28,36,28,1.37,28.33,1.39,14.96,4.94,0.8
Ferozepur,43720,8370,2112,Rice,666,Clay,Tanks,175,32,32,4936,Medium,32947,8.14,49,66,80,36.74,2.17,51,33,36,2.6,16.1,3.04,6.93,4.78,1.08
Gurdaspur,51944,6560,2324,Sugarcane,905,Sandy Loam,Tube Wells,221,39,32,5880,Medium,28511,8.2,25,63,80,33.83,2.1,51,22,28,1.24,17.17,1.12,4.76,6.66,1.74
Hoshiarpur,106247,9235,1238,Wheat,873,Loam,Canals,226,13,12,5006,Medium,30692,8.47,23,71,77,39.7,2.32,60,33,26,0.23,20.17,2.62,12.28,6.96,2.09
Jalandhar,35389,4549,1616,Cotton,1105,Loam,Canals,209,22,12,4997,Medium,20608,7.38,51,39,93,40.5,0.69,57,21,25,1.84,19.47,2.67,13.86,4.6,1.71
Kapurthala,57983,5128,2413,Maize,392,Loam,Tanks,152,20,32,5860,Low,32416,7.38,12,67,99,29.43,1.75,60,24,11,1.09,30.25,1.05,14.93,6.93,1.33
Ludhiana,82420,6535,946,Sugarcane,1121,Calcareous,Canals,225,26,26,4705,Medium,8151,8.69,24,29,63,54.4,0.76,60,21,37,2.62,21.19,2.63,10.41,2.31,2.4
Malerkotla,67009,7661,989,Cotton,699,Calcareous,Tanks,157,36,22,5157,Medium,23348,7.82,37,37,104,26.28,2.14,36,35,24,2.86,23.69,4.57,7.57,6.7,1.76
Mansa,78338,7129,1081,Wheat,619,Clay,Tube Wells,140,38,34,4403,Medium,12539,7.28,36,47,49,51.9,0.63,28,22,36,0.31,19.59,4.15,9.05,3.85,2.36
Moga,74583,3850,1208,Wheat,909,Calcareous,Canals,185,20,18,5167,High,6042,7.96,44,31,60,52.24,1.89,56,26,19,2.36,10.84,2.0,4.9,6.93,0.44
Muktsar Sahib,54403,5890,860,Maize,1187,Loam,Canals,183,23,21,5271,High,9343,7.27,42,66,54,50.82,1.94,33,27,14,0.34,14.59,2.2,10.45,4.92,0.57
Pathankot,118669,7668,1870,Wheat,799,Clay,Canals,175,21,13,5996,Medium,7270,8.52,41,30,77,32.02,2.42,45,18,15,2.22,21.62,3.77,15.39,1.13,1.49
Patiala,91712,8587,649,Cotton,640,Alluvial,Tanks,120,33,35,4641,Medium,32730,7.05,54,32,77,34.32,2.6,28,38,23,1.47,28.0,3.12,14.78,1.83,1.01
Rupnagar,73814,2543,2443,Rice,1162,Alluvial,Canals,159,38,24,4842,High,11533,7.42,55,73,51,39.04,1.09,50,38,38,2.88,21.71,1.09,9.34,2.69,0.23
Sahibzada Ajit Singh Nagar,115711,9626,1008,Rice,1144,Sandy Loam,Rain-fed,178,27,18,5552,Medium,9180,8.37,58,61,54,45.13,2.66,29,24,17,2.96,15.7,2.1,7.69,3.29,1.12
Sangrur,69531,5468,1628,Wheat,1032,Calcareous,Tanks,123,16,27,5999,High,14131,7.53,57,63,40,54.58,0.72,46,34,28,1.71,21.29,0.88,7.58,5.36,0.38
Shaheed Bhagat Singh Nagar,114485,4634,1860,Wheat,855,Alluvial,Rain-fed,219,34,20,5198,Medium,15409,8.42,27,34,61,24.57,2.34,57,20,32,0.53,12.31,1.86,7.18,3.47,0.54
Tarn Taran,92927,3721,1108,Rice,707,Loam,Tanks,223,31,33,5516,High,30314,8.53,19,57,64,15.48,2.49,34,26,27,1.15,30.78,2.09,10.48,2.89,0.67
Amritsar,114978,2788,1013,Sugarcane,1137,Clay,Rain-fed,192,34,23,5237,High,16967,8.65,42,29,53,13.66,2.24,28,11,15,2.91,30.41,2.99,11.88,2.15,0.53
Barnala,94785,7834,1853,Rice,534,Sandy Loam,Tanks,178,12,16,4205,High,5836,7.74,50,45,48,43.68,1.61,32,38,32,0.45,31.09,2.76,5.35,2.53,1.35
Bathinda,31909,7380,2288,Rice,646,Calcareous,Tube Wells,190,19,25,4840,Low,29192,7.85,18,68,47,20.89,1.79,56,24,40,0.77,30.71,5.01,6.04,5.59,0.49
Faridkot,91541,3352,1110,Maize,871,Sandy Loam,Rain-fed,178,21,35,4617,High,12293,7.81,32,46,84,54.63,2.54,60,16,34,0.29,31.31,4.25,14.91,1.05,1.16
Fatehgarh Sahib,33759,9038,1299,Sugarcane,511,Alluvial,Tanks,245,20,17,4173,Low,27079,8.48,60,26,57,18.37,0.98,64,40,39,2.3,13.02,4.98,14.66,4.59,1.97
Fazilka,63422,7818,1518,Sugarcane,1106,Clay,Tube Wells,128,33,22,4281,High,18149,7.5,50,53,58,23.62,2.17,26,15,16,2.49,27.57,4.09,12.01,3.78,0.75
Ferozepur,100247,3686,827,Sugarcane,1017,Loam,Tube Wells,217,19,13,4414,Medium,27397,7.46,14,50,59,38.74,2.5,53,28,27,1.32,15.98,5.61,7.8,3.54,0.76
Gurdaspur,109279,9249,1305,Cotton,919,Alluvial,Tube Wells,219,21,15,5691,High,25044,8.69,13,70,56,50.03,2.64,60,18,13,0.62,18.34,3.31,12.79,3.14,2.02
Hoshiarpur,41820,8367,1185,Cotton,1145,Alluvial,Canals,234,25,24,4229,High,17054,7.67,46,25,72,34.55,1.43,30,44,23,2.46,17.03,4.28,9.04,1.06,1.84
Jalandhar,73512,2365,1907,Wheat,530,Loam,Tube Wells,134,12,33,5489,High,12890,8.02,21,29,62,39.17,1.95,30,17,15,1.35,20.7,5.67,5.09,5.72,1.67
Kapurthala,44167,5560,2376,Sugarcane,1120,Sandy Loam,Rain-fed,154,26,35,4783,Low,22577,7.79,60,45,105,15.89,1.7,52,40,20,1.2,18.77,5.55,11.77,5.11,2.46
Ludhiana,33701,2653,1323,Maize,446,Clay,Canals,124,25,20,4072,Low,12011,7.28,14,47,77,38.68,1.18,31,40,15,2.82,22.36,2.38,13.04,2.89,0.71
Malerkotla,85670,7351,1816,Sugarcane,364,Loam,Tanks,229,22,28,5777,High,21406,7.13,49,64,96,41.18,1.01,52,30,16,0.73,14.4,2.11,8.68,3.19,0.41
Mansa,78901,6677,2132,Sugarcane,750,Calcareous,Tube Wells,167,25,34,5897,Low,21349,8.46,40,50,56,54.07,2.46,52,13,15,1.61,26.37,4.71,10.54,4.37,2.36
Moga,30463,2848,2325,Sugarcane,725,Calcareous,Tanks,154,30,26,4007,High,27931,7.42,27,71,52,48.99,1.75,34,28,37,0.54,14.29,1.6,16.51,2.13,0.41
Muktsar Sahib,52926,4587,1459,Maize,683,Calcareous,Tube Wells,127,19,30,5056,Medium,23512,7.67,18,74,108,31.12,2.35,41,36,18,0.25,26.2,1.17,11.27,1.91,2.28
Pathankot,78846,5458,2412,Cotton,1171,Loam,Tube Wells,226,32,21,4879,High,32489,7.96,54,73,97,47.21,1.62,48,45,18,1.96,17.82,2.46,8.69,6.11,0.88
Patiala,77047,6285,874,Sugarcane,1035,Clay,Tanks,164,22,21,5140,High,15915,7.89,58,43,102,50.39,1.82,32,43,28,2.04,30.49,3.6,15.06,6.52,2.27
Rupnagar,77891,7947,1767,Rice,498,Clay,Canals,123,16,32,4196,High,5562,8.53,51,56,77,23.88,1.67,43,23,30,2.41,27.05,2.97,4.32,1.34,2.47
Sahibzada Ajit Singh Nagar,107277,8660,1969,Wheat,577,Alluvial,Canals,237,31,33,4500,Medium,31446,7.71,59,58,83,25.64,1.49,58,18,33,0.49,30.38,2.92,4.43,4.1,2.28
Sangrur,74445,3046,1475,Sugarcane,808,Alluvial,Tube Wells,220,13,33,5955,High,16426,7.03,24,31,69,17.91,2.3,56,45,39,0.37,16.94,1.49,8.2,1.97,2.51
Shaheed Bhagat Singh Nagar,118357,7650,1956,Maize,387,Calcareous,Tanks,138,40,20,5971,High,12592,8.69,16,51,67,19.75,1.37,26,21,14,2.17,12.19,5.61,10.74,1.42,1.61
Tarn Taran,65334,4105,1892,Wheat,555,Sandy Loam,Tube Wells,242,37,27,4556,Low,21628,8.67,21,65,85,25.27,1.92,50,37,23,1.15,19.79,1.5,9.63,3.05,1.19
Amritsar,71930,7555,973,Cotton,1111,Calcareous,Canals,236,35,20,4957,Medium,19043,8.52,51,41,52,53.51,2.61,33,43,14,2.42,28.05,3.83,14.88,4.77,1.57
Barnala,64774,8131,1933,Rice,432,Calcareous,Tube Wells,249,35,22,5483,High,20437,8.47,43,30,62,15.5,0.83,48,44,17,1.02,26.34,1.32,9.96,6.06,0.27
Bathinda,81132,9369,565,Sugarcane,889,Loam,Rain-fed,179,14,28,5244,Low,31741,8.59,29,60,103,51.03,0.92,53,34,17,1.15,30.21,5.23,16.66,6.14,0.65
Faridkot,51930,8856,1379,Rice,660,Sandy Loam,Tanks,121,31,16,5018,Medium,4636,7.06,54,70,72,52.06,0.93,36,43,33,1.12,29.36,3.75,11.51,4.44,2.37
Fatehgarh Sahib,109042,2984,2357,Cotton,1129,Calcareous,Canals,224,27,33,4212,High,22294,8.34,16,25,104,26.23,1.35,27,13,33,1.56,28.55,4.79,4.0,5.05,1.98
Fazilka,60248,7911,786,Wheat,926,Clay,Tanks,137,17,12,4842,Medium,12319,7.96,57,56,59,17.54,2.02,40,26,25,0.88,16.07,4.25,15.14,4.82,0.83
Ferozepur,117206,2761,916,Wheat,879,Sandy Loam,Tube Wells,134,37,25,4355,High,23719,7.72,14,51,61,38.4,1.52,37,11,16,0.7,12.91,1.05,5.51,6.83,0.83
Gurdaspur,70464,7938,1072,Maize,606,Clay,Rain-fed,163,27,14,5037,Low,18928,7.88,28,51,98,27.34,0.63,65,35,25,1.73,28.12,2.81,9.16,3.5,0.56
Hoshiarpur,100584,6543,2279,Maize,907,Loam,Canals,153,12,14,5926,Medium,8776,7.63,37,44,100,26.12,2.53,55,45,30,2.06,21.45,2.47,5.55,1.0,1.06
Jalandhar,40324,5356,826,Wheat,940,Loam,Tanks,216,17,28,4847,Low,28749,7.93,35,37,101,53.67,2.53,63,20,16,2.39,26.11,2.34,8.12,5.44,0.88
Kapurthala,41507,7152,1353,Rice,785,Clay,Tanks,131,38,20,4866,High,26362,8.33,30,68,109,27.07,2.13,50,31,22,0.67,25.25,3.63,5.19,5.98,0.54
Ludhiana,117589,8951,2014,Sugarcane,597,Clay,Canals,149,36,24,5069,High,30731,7.57,42,61,49,19.2,1.57,49,20,29,1.51,17.17,3.11,8.43,3.55,0.57
Malerkotla,93150,5143,584,Wheat,526,Sandy Loam,Rain-fed,179,28,28,5872,Low,29241,7.12,31,59,76,17.93,2.62,57,14,40,1.56,14.77,1.2,5.24,6.06,1.42
Mansa,39445,3736,1833,Rice,1193,Alluvial,Tanks,168,35,14,5483,Medium,17233,8.59,54,49,50,51.18,2.57,32,21,17,1.37,15.41,2.89,13.21,5.72,1.19
Moga,40690,5105,962,Wheat,793,Sandy Loam,Canals,172,40,28,5732,High,15094,7.55,39,44,94,36.53,2.29,34,17,16,2.54,25.37,2.69,15.94,1.16,1.88
Muktsar Sahib,119240,9008,2428,Cotton,584,Clay,Tube Wells,132,31,30,5953,High,21761,7.82,45,70,64,35.5,0.75,60,38,11,1.2,27.9,4.25,16.71,5.68,0.58
Pathankot,56502,3835,725,Wheat,1136,Calcareous,Canals,185,36,35,4288,Medium,11068,8.12,47,65,79,42.11,2.06,61,23,21,2.48,26.4,4.23,5.93,3.22,0.4
Patiala,44608,3166,1067,Maize,987,Clay,Tanks,153,33,18,4654,Medium,6862,8.09,24,39,40,36.35,1.52,27,13,30,1.74,20.05,5.27,6.54,3.84,0.93
Rupnagar,75097,6391,2244,Maize,1167,Calcareous,Tanks,123,39,34,5921,Low,14922,7.34,28,66,46,40.91,2.04,50,37,12,2.44,12.85,0.82,4.4,2.1,0.29
Sahibzada Ajit Singh Nagar,80956,9996,1085,Cotton,572,Sandy Loam,Rain-fed,229,17,27,5439,Low,23034,7.96,57,27,45,32.09,1.67,34,28,20,1.39,20.83,4.84,17.76,3.41,1.3
Sangrur,72055,5086,735,Maize,493,Alluvial,Tanks,204,23,24,5747,High,21527,7.56,17,39,103,38.69,1.54,52,12,40,1.65,11.96,5.28,12.98,3.03,1.14
Shaheed Bhagat Singh Nagar,58949,7729,1506,Wheat,435,Calcareous,Rain-fed,198,13,24,5303,Medium,14214,7.64,16,57,54,27.73,1.48,25,32,12,1.0,28.63,4.34,5.03,3.97,1.42
Tarn Taran,62190,5170,1763,Cotton,566,Sandy Loam,Tanks,233,27,15,4295,Medium,6680,8.22,13,25,70,46.32,2.28,55,43,18,2.02,13.32,1.55,9.88,2.85,2.08
Amritsar,37040,9249,1784,Rice,555,Sandy Loam,Rain-fed,231,21,34,5568,High,21073,7.12,50,56,65,45.16,0.75,29,34,19,1.95,11.15,3.11,5.46,3.43,0.89
Barnala,47394,8084,1817,Rice,1011,Sandy Loam,Tube Wells,159,40,29,4764,High,6429,8.65,46,34,103,44.82,0.75,46,13,23,1.16,21.45,4.37,6.39,1.72,0.51
Bathinda,102523,8910,1754,Sugarcane,870,Sandy Loam,Tube Wells,226,27,22,4053,Medium,30061,8.1,37,65,105,51.65,1.99,44,12,33,0.2,25.47,2.6,10.62,4.79,1.05
Faridkot,62922,9368,758,Cotton,559,Loam,Canals,144,32,21,5441,Low,20335,7.13,20,35,107,26.65,1.69,43,11,39,2.59,29.7,2.34,6.68,4.46,0.96
Fatehgarh Sahib,103689,8908,1489,Cotton,424,Alluvial,Tanks,177,25,15,5851,High,12567,8.4,37,42,80,48.99,1.95,34,45,11,0.34,24.78,4.27,10.85,4.67,0.89
Fazilka,81983,4635,1835,Maize,1033,Sandy Loam,Rain-fed,199,26,33,5148,Low,30875,7.47,55,51,94,51.0,1.75,46,28,12,1.55,14.49,2.83,6.54,4.32,0.77
Ferozepur,52004,8025,1477,Maize,910,Clay,Tube Wells,159,16,24,5036,Medium,27555,7.71,48,28,101,13.47,2.06,33,14,35,1.17,24.72,1.6,15.06,3.88,1.05
Gurdaspur,115336,3618,1405,Sugarcane,618,Loam,Tube Wells,143,12,29,4027,Medium,31999,7.63,49,29,72,41.97,1.76,56,19,10,2.29,22.86,4.57,5.68,3.73,0.41
Hoshiarpur,30948,8671,2500,Sugarcane,1162,Alluvial,Tube Wells,246,34,28,5372,Medium,29176,7.9,58,26,47,44.86,1.08,41,11,19,1.84,18.12,4.35,6.66,2.96,0.4
Jalandhar,74716,5720,789,Cotton,818,Calcareous,Rain-fed,238,19,35,4338,High,5019,7.49,43,27,69,30.24,1.22,42,43,19,1.8,23.08,4.49,8.55,6.27,2.18
Kapurthala,71206,3513,724,Sugarcane,828,Calcareous,Tanks,193,27,29,5837,Low,22030,7.23,23,53,92,26.06,2.21,61,18,13,2.37,27.22,4.37,8.95,2.01,1.92
Ludhiana,54991,6823,2178,Wheat,580,Loam,Tube Wells,142,26,15,4909,High,14454,7.14,27,38,55,32.94,1.55,51,44,10,2.37,17.63,4.02,17.68,3.11,1.47
Malerkotla,79419,7311,1548,Cotton,833,Loam,Tanks,191,19,33,5747,Medium,23561,7.62,53,52,55,41.81,1.71,48,30,12,1.79,11.12,3.21,13.52,3.2,2.4
Mansa,65202,8399,2062,Wheat,556,Calcareous,Rain-fed,233,24,25,5580,Low,9180,7.13,33,44,100,19.5,2.45,37,41,20,1.34,13.91,2.17,13.06,4.4,0.36
Moga,95225,3324,937,Maize,1164,Loam,Rain-fed,223,20,20,4348,Medium,9824,8.54,21,68,71,51.25,2.44,25,19,33,2.43,26.73,4.09,15.01,2.0,2.37
Muktsar Sahib,53434,8040,1105,Sugarcane,860,Alluvial,Tanks,138,20,23,4640,Medium,8153,7.56,35,41,67,33.83,2.13,60,23,11,1.89,11.04,5.56,4.43,4.24,2.37
Pathankot,52212,5765,873,Maize,958,Alluvial,Canals,208,25,22,5137,High,23310,7.91,36,34,108,21.78,1.83,63,37,13,0.15,14.69,1.75,7.71,2.09,1.12
